component	version	source	sha256
samtools+htslib	1.24	https://github.com/samtools/samtools/releases/tag/1.24	89b2a440123eeaa400392ce1736e7d60ce9041843027d76819753c5a8246bfdd
bcftools	1.24	https://github.com/samtools/bcftools/releases/tag/1.24	8caddc22610ee2851666047c859bb91da0c1e32d0c2ec553db6f153ad130e46f
bwa-mem2	2.2.1	https://github.com/bwa-mem2/bwa-mem2/releases/tag/v2.2.1	b4cfdbce8cc07cdf3f6a920facabc29c976cf77dd53573369508111d6d1c555b
pigz	2.8	https://github.com/madler/pigz/releases/tag/v2.8	2f7f6a6986996d21cb8658535fff95f1c7107ddce22b5324f4b41890e2904706
Temurin-JRE	17.0.20.1+1	https://github.com/adoptium/temurin17-binaries/releases/tag/jdk-17.0.20.1%2B1	0b2b640e3046b64c8ec504de0ab9d91bb5610182bda21fad454681ce54d45a62
GATK	4.7.0.0	https://github.com/broadinstitute/gatk/releases/tag/4.7.0.0	d093d2693b1626361a413ca59d6d4a0bf968717f280a8fd9ce060b25eb2ed1db
Nextflow	26.04.6	https://github.com/nextflow-io/nextflow/releases/tag/v26.04.6	182a63c74074e2dc7956ffa3c8cd59de952ed2c44394e21faf5e1736b945444c
Ensembl-VEP	116.0	https://github.com/Ensembl/ensembl-vep/releases/tag/release%2F116.0	618a4b6d37efbe0968d7ad1115bf6b712f8537c4697659be6c41580708eb5167
cpanminus	1.7048	https://metacpan.org/release/MIYAGAWA/App-cpanminus-1.7048	59b60907ab9fa4f72ca2004fbe6054911439ae9a906890b4d842a87b25f20f3c
Exporter-Tiny	1.006003	https://metacpan.org/release/TOBYINK/Exporter-Tiny-1.006003	6499f09a6432cf87b133fb9580a8a9a9a6c566821346b1fdee95f7b64c0317b1
List-MoreUtils	0.430	https://metacpan.org/release/REHSACK/List-MoreUtils-0.430	63b1f7842cd42d9b538d1e34e0330de5ff1559e4c2737342506418276f646527
VEP-HTSlib	1.9	https://github.com/samtools/htslib/releases/tag/1.9	e04b877057e8b3b8425d957f057b42f0e8509173621d3eccaedd0da607d9929a
Bio-DB-HTS	2.11	https://github.com/Ensembl/Bio-DB-HTS/releases/tag/2.11	4fa7a007b470b73ab404dab27613f71f16256a4bed1a4a4121f1db190320b4ed
